issuingCompany,tradingName,cnpj,api_prefix
AVNH,AVENUE HOLD,29480786000173,AVNH
AVGE,AVGEMPREEND,16565897000130,AVGE
CHSF,AXIA NORDEST,33541368000116,CHSF
AXIA,AXIA ENERGIA,1180000126,AXIA
ASII,AXISSOLARIII,34175032000140,ASII
AXSO,AXISSOLAR IX,43880268000178,AXSO
AXVS,AXIS SOLAR V,35917935000111,AXVS
AXEP,AXIS SOLAR X,48929019000143,AXEP
ASXI,AXIS SOLAR,55511006000115,ASXI
AXS3,AXS GOIAS,46409396000126,AXS3
AXSA,AXS ENER 01,41235642000157,AXSA
AXSD,AXSENERGIA2,45870799000105,AXSD
AXSC,AXS ENERGIA,42029651000154,AXSC
AXSE,AXS ENERG,42030202000126,AXSE
AXSU,AXS VII,50059636000187,AXSU
AXS8,AXS VIII,50117806000132,AXS8
AXS9,AXS ENERGIA9,50059431000100,AXS9
AXS4,AXS 10SPE,50117634000105,AXS4
AXSI,AXS 11,50117483000187,AXSI
PAXS,AXS PART,48759193000195,PAXS
AZTE,AZT ENERGIA,52017473000103,AZTE
AZEV,AZEVEDO,61351532000168,AZEV
AZO0,AZO INC NEGO,12312616000187,AZO0
AZLA,AZULAEREAS,9296295000160,AZLA
AZUL,AZUL,9305994000129,AZUL
AZZA,AZZAS 2154,16590234000176,AZZA
BEQE,B&Q ENERGIA,12255352000177,BEQE
BAEP,B A EMPREEND,10468152000177,BAEP
BCPA,B100 CONTROL,34999925000100,BCPA
B100,B100 S.A.,52270350000171,B100
BEMP,B28,24081780000100,BEMP
B3SA,B3,9346601000125,B3SA
BBLN,BABILONIA,26680187000105,BBLN
BAHR,BAHEMAEDU RJ,25249401000100,BAHR
PCHB,BAHIAPCH,8747075000142,PCHB
BABR,BALI BRASIL,53799731000105,BABR
BMBO,BAMBOO SA,48343871000134,BMBO
BBHI,BOCOMBBMBM,15114366000169,BBHI
BCRD,ABNBM,3532415000102,BCRD
AGBK,AGIBANKBC,10664513000150,AGBK
LMON,ANDBANKBM,48795256000169,LMON
BBMF,BCOB3BC,997185000150,BBMF
BDEP,BANDEPEBM,10866788000177,BDEP
BMGB,BANCO BMG,61186680000174,BMGB
BIBI,BRADESCARDBM,4184779000101,BIBI
IAME,BRADCARBM,59438325000101,IAME
ZYQZ,BRADESCOFINA,7207996000150,ZYQZ
BGNL,JSLAM,1852137000137,BGNL
BCXG,CAIXAGERALBM,33466988000138,BCXG
BCAP,CAPITALBM,15173776000180,BCAP
BCGL,CARGILLBM,3609817000150,BCGL
CTPL,CATERPILLARB,2658435000153,CTPL
ITAM,CBSSBM,27098060000145,ITAM
BBGN,BCOCETELEMBM,558456000171,BBGN
BGEC,CIFRABM,62421979000129,BGEC
CITI,CITIBM,33479023000180,CITI
CLAS,CLASSICOBM,31597552000152,CLAS
CNHC,CNHCAPITALBM,2992446000175,CNHC
SCDI,SICREDIBM,1181521000155,SCDI
BCLB,AGRICOLEBM,75647891000171,BCLB
BPNB,CREFISABC,61033106000186,BPNB
BCSF,CSFBM,8357240000150,BCSF
BCHN,CHINABM,10690848000143,BCHN
BIFB,SUISSEBI,33987793000133,BIFB
BNAR,LANACIONARGE,33042151000161,BNAR
LAGE,LAGEBM,5040481000182,LAGE
BAJR,B.A.PARTICIP,92874270000140,BAJR
FTOR,FATORBM,33644196000106,FTOR
BFIB,FIBRABM,58616418000108,BFIB
FICS,FICSABM,61348538000186,FICS
BFIA,BANCOFIDISBM,62237425000176,BFIA
BFRD,FORDBM,90731688000172,BFRD
BCGM,GMACBM,59274605000113,BCGM
GNBR,GUANABARABM,31880826000116,GNBR
BCHD,HONDABM,3634220000165,BCHD
IBML,IBMBM,34270520000136,IBML
BSTD,INBURSABM,4866275000163,BSTD
BNRJ,ITAUCONSBM,33885724000119,BNRJ
BCFT,ITAUVEICULOS,61190658000106,BCFT
ITAC,ITAUCARDBM,17192451000170,ITAC
FNTC,ITAUCREDBM,59461152000134,FNTC
SAFR,JSAFRABM,3017677000120,SAFR
JPMG,JPMORGANBM,33172537000198,JPMG
BKEB,KEBBC,2318507000113,BKEB
HSBI,LOSANGOBM,33254319000100,HSBI
LUSO,LUSOBRASILEI,59118133000100,LUSO
BMXM,MAXIMABC,33923798000100,BMXM
DCLS,MERCEDESBBM,60814191000157,DCLS
WTLB,MIZUHOBM,61088183000133,WTLB
MSDW,MORGANSTANLE,2801938000136,MSDW
BTMB,MUFGBM,60498557000126,BTMB
BNSC,BONSUCESSOCO,71371686000175,BNSC
JBSB,ORIGINALAGRO,9516419000175,JBSB
BMTN,ORIGINALBM,92894922000108,BMTN
ORIV,OURINVESTBM,78632767000120,ORIV
BPSA,PSAFINANCEBM,3502961000192,BPSA
RBBK,RABOBANKBM,1023570000160,RBBK
REND,RENDIMENTOBC,68900810000138,REND
BRED,RODOBENSBM,33603457000140,BRED
BSAF,SAFRABM,58160789000128,BSAF
EBLM,SEMEARBM,795423000145,EBLM
BBRA,BCOSISTEMABM,76543115000194,BBRA
SMTM,SUMITOMOBM,60518222000122,SMTM
TPZB,TOPAZIOBM,7679404000100,TPZB
BTOY,BCOTOYOTABM,3215790000110,BTOY
TCRY,TRICURYBM,57839805000140,TCRY
VIPL,VIPALBM,9526594000143,VIPL
BVLV,VOLVOBM,58017179000170,BVLV
BCVR,VRBM,78626983000163,BCVR
YAHA,YAMAHABM,10371492000185,YAHA
BNDC,BANDADECOURO,19905727000146,BNDC
BEES,BANESTES,28127603000178,BEES
BMLI,MERRILLLYNCH,62073200000121,BMLI
BAOB,BAOBA EMPRE,38448498000122,BAOB
TFSP,TEFE,17370002000175,TFSP
BREG,BARAUNASII,19905679000196,BREG
BRCA,BARCAS,33644865000140,BRCA
BDLL,BARDELLA,60851615000153,BDLL
BRGU,BARIGUICH,14511781000193,BRGU
BHSA,BARREIRAS HD,50258089000169,BHSA
BARU,BARUERI,14641895000158,BARU
BATA,BASA SANE,65613958000101,BATA
BASE,BASE SECURIT,35082277000195,BASE
BALM,BAUMER,61374161000130,BALM
BAUC,BAUMGART,7019752000143,BAUC
BKEU,BAUTEK,21229511000150,BKEU
BRLS,BBAM,31546476000156,BRLS
BBSE,BBSEGURIDADE,17344597000194,BBSE
BBMD,DBSA,19733876000175,BBMD
BBML,BBMLOGISTICA,1107327000120,BBML
CCDB,BBNEGBM,10264663000177,CCDB
BBOP,BBOSA,2400344000113,BBOP
BCGE,BC GERACAO,28409693000190,BCGE
BCLV,BCLV,4871143000120,BCLV
ABCB,ABC BRASIL,28195667000106,ABCB
BAZA,AMAZONIA,4902979000144,BAZA
BBDC,BRADESCO,60746948000112,BBDC
BBAS,BRASIL,191,BBAS
BPAC,BTGP BANCO,30306294000145,BPAC
CEFI,CEDULA,33132044000124,CEFI
BGIP,BANESE,13009717000146,BGIP
BPAR,BANPARA,4913711000108,BPAR
BRSR,BANRISUL,92702067000196,BRSR
ITCP,INTERCAPBM,58497702000102,ITCP
BMAX,MAXINVESTBM,80271455000180,BMAX
BMIN,MERC INVEST,34169557000172,BMIN
BMEB,MERCANTIL,17184037000110,BMEB
BNBR,NORD BRASIL,7237373000120,BNBR
PINE,PINE,62144175000120,PINE
RBPT,RIBEIRAOPRET,517645000104,RBPT
SANB,SANTANDER BR,90400888000142,SANB
SFSA,SOFISABM,60889128000180,SFSA
BVKW,VOLKSWAGENBM,59109165000149,BVKW
ZXSZ,VOTORANTIMBM,59588111000103,ZXSZ
SCHI,BCVBM,50585090000106,SCHI
BDWP,BDWPART HOLD,31917202000126,BDWP
BSBI,BE8 S.A,7322382000119,BSBI
BEPK,BEACH PARK,11805397000105,BEPK
BPOS,BEBIDAS POTY,55223127000242,BPOS
BELE,BELA LUNA,31921853000190,BELE
BELA,BELAGRICOLA,79038097000181,BELA
BBIO,BELEMBIO,13188854000195,BBIO
