ticker,ticker_prefix,cnpj,issuingCompany,tradingName
RSUL4,RSUL,85778074000106,RSUL,RIOSULENSE
CRPG5,CRPG,15115504000124,CRPG,CRISTAL
ENGI3,ENGI,864214000106,ENGI,ENERGISA
BRSR3,BRSR,92702067000196,BRSR,BANRISUL
ENMT3,ENMT,3467321000199,ENMT,ENERGISA MT
MNDL3,MNDL,88610191000154,MNDL,MUNDIAL
BEES4,BEES,28127603000178,BEES,BANESTES
ESTR4,ESTR,61082004000150,ESTR,ESTRELA
ALPA3,ALPA,61079117000105,ALPA,ALPARGATAS
BMEB3,BMEB,17184037000110,BMEB,MERCANTIL
BGIP4,BGIP,13009717000146,BGIP,BANESE
LUXM4,LUXM,92660570000126,LUXM,TREVISA
CLSC4,CLSC,83878892000155,CLSC,CELESC
WHRL3,WHRL,59105999000186,WHRL,WHIRLPOOL
CEBR6,CEBR,70698000111,CEBR,CEB
CEBR5,CEBR,70698000111,CEBR,CEB
CEBR3,CEBR,70698000111,CEBR,CEB
CLSC3,CLSC,83878892000155,CLSC,CELESC
UNIP5,UNIP,33958695000178,UNIP,UNIPAR
CGRA3,CGRA,92012467000170,CGRA,GRAZZIOTIN
BDLL3,BDLL,60851615000153,BDLL,BARDELLA
RVEE3,RVEE,52841191000118,RVEE,REVEE
RVEE3,RVEE,52841191000118,RVEE,REVEE
CGAS5,CGAS,61856571000117,CGAS,COMGAS
CTKA4,CTKA,82640558000104,CTKA,KARSTEN
BIED3,BIED,45987245000192,BIED,BIOMA EDUC
ATED3,ATED,23994857000170,ATED,ATOM EDUC
CEEB3,CEEB,15139629000194,CEEB,COELBA
ENMT4,ENMT,3467321000199,ENMT,ENERGISA MT
EKTR4,EKTR,2328280000197,EKTR,ELEKTRO
EUCA3,EUCA,56643018000166,EUCA,EUCATEX
BMIN4,BMIN,34169557000172,BMIN,MERC INVEST
VSTE3,VSTE,49669856000143,VSTE,VESTE
RPMG3,RPMG,33412081000196,RPMG,PET MANGUINH
OSXB3,OSXB,9112685000132,OSXB,OSX BRASIL
CTKA3,CTKA,82640558000104,CTKA,KARSTEN
WLMM4,WLMM,33228024000151,WLMM,WLM IND COM
CRPG3,CRPG,15115504000124,CRPG,CRISTAL
TELB4,TELB,336701000104,TELB,TELEBRAS
CGAS3,CGAS,61856571000117,CGAS,COMGAS
GEPA4,GEPA,2998301000181,GEPA,GER PARANAP
BALM3,BALM,61374161000130,BALM,BAUMER
RPAD5,RPAD,17167396000169,RPAD,ALFA HOLDING
PPLA11,PPLA,15073274000188,PPLA,PPLA
BMKS3,BMKS,56992423000190,BMKS,BIC MONARK
BRKM6,BRKM,42150391000170,BRKM,BRASKEM
PATI3,PATI,92693019000189,PATI,PANATLANTICA
AFLT3,AFLT,10338320000100,AFLT,AFLUENTE T
BIOM11,BIOM,4752991000110,BIOM,BIOMM
NORD3,NORD,60884319000159,NORD,NORDON MET
BNBR3,BNBR,7237373000120,BNBR,NORD BRASIL
CRPG6,CRPG,15115504000124,CRPG,CRISTAL
EALT3,EALT,82643537000134,EALT,ACO ALTONA
IGTI4,IGTI,60543816000193,IGTI,IGUATEMI S.A
IGTI4,IGTI,60543816000193,IGTI,IGUATEMI S.A
PTNT3,PTNT,88613658000110,PTNT,PETTENATI
ARND3,ARND,14127813000151,ARND,ARANDU
GEPA3,GEPA,2998301000181,GEPA,GER PARANAP
JOPA3,JOPA,87456562000122,JOPA,JOSAPAR
NEXP3,NEXP,8613550000198,NEXP,NEXPE
PLAS3,PLAS,51928174000150,PLAS,PLASCAR PART
CALI3,CALI,61022042000118,CALI,CONST A LIND
CEGR3,CEGR,33938119000169,CEGR,CEG
HETA4,HETA,92749225000163,HETA,HERCULES
EQPA5,EQPA,4895728000180,EQPA,EQTL PARA
AHEB3,AHEB,62002886000160,AHEB,SPTURIS
EQMA3B,EQMA,6272793000184,EQMA,EQTLMARANHAO
PEAB3,PEAB,1938783000111,PEAB,PAR AL BAHIA
PEAB4,PEAB,1938783000111,PEAB,PAR AL BAHIA
RPAD6,RPAD,17167396000169,RPAD,ALFA HOLDING
USIM6,USIM,60894730000105,USIM,USIMINAS
